hyperparameter,value,recall,ndcg,run_time
batch_size,32.0,0.580046403712297,0.327803048767746,34.33663296699524
batch_size,64.0,0.5472323500165728,0.2994692863334817,30.390185117721558
batch_size,128.0,0.5419290686112032,0.2959674268853828,26.17759108543396
dropout,0.1,0.548723897911833,0.2996731420818754,31.255404949188232
dropout,0.2,0.5472323500165728,0.2994692863334817,28.242208003997803
dropout,0.3,0.5450778919456414,0.2985073686106124,29.407515048980713
hidden_size,64.0,0.5415976135233675,0.2961718634372753,22.65981101989746
hidden_size,128.0,0.5472323500165728,0.2994692863334817,28.619434118270874
hidden_size,256.0,0.6277759363606231,0.3698950778356091,44.01922106742859
learning_rate,0.0001,0.5399403380841896,0.29573665739599037,31.88820505142212
learning_rate,0.0005,0.5472323500165728,0.2994692863334817,30.053718090057373
learning_rate,0.001,0.6067285382830626,0.3478195729726005,28.539151906967163
num_layers,1.0,0.5372886973815048,0.29486291179674884,21.738379955291748
num_layers,2.0,0.5472323500165728,0.2994692863334817,29.636803150177002
num_layers,3.0,0.5480609877361617,0.30640190412853785,38.051751136779785
neg_samples,50.0,0.7330129267484256,0.4239543338869758,29.10051989555359
neg_samples,99.0,0.5472323500165728,0.2994692863334817,31.29028296470642
neg_samples,150.0,0.4405038117335101,0.23650392537721593,30.290673971176147
epochs,3.0,0.535465694398409,0.2944958396234013,18.7900230884552
epochs,5.0,0.5472323500165728,0.2994692863334817,29.90857696533203
epochs,8.0,0.6135233675836924,0.35360817398046024,45.46884608268738
